Friuli Venezia-Giulia	dammi un altro pezzo	Ariis	F2700911.ogg
Umbria	il santo del paese si chiama…	Spoleto	50223411.ogg
Umbria	Quando si diventa vecchi si dorme poco.	Marsciano	50433611.ogg
Friuli Venezia-Giulia	Ho visto solo una donna, non due!	Tischlbong/Timau	F0427311.ogg
Piemonte	Quando si diventa vecchi si dorme poco.	Villafalletto	P2133611.ogg
Molise	Perciò dopo un paio di mesi, sebbene la casa di suo padre fosse molto lontana, pensò di tornare indietro.	Montefalcone nel Sannio	80636411.ogg
Sicilia	il cuore mi fa male	Catania	11107911.ogg
Sicilia	No, babbo mio, non baciatemi! Sono stato troppo cattivo. I miei peccati son troppo grandi; non son più degno di essere vostro figlio: sarò uno dei vostri servi.	Villalba	10536711.ogg
Friuli Venezia-Giulia	Pochi giorni dopo il giovanotto prese tutto il suo denaro e se ne andò.	Travesio	F0935211.ogg
Piemonte	il tempo passa	Borgosesia	P0625811.ogg
Piemonte	Non trovo la chiave; dove l'hai messa?	Cavaglià	P0734711.ogg
Trentino-Alto Adige	Pochi giorni dopo il giovanotto prese tutto il suo denaro e se ne andò.	Fàver	61935211.ogg
Umbria	E per non morire, mangiava erba e radici; e piangeva: "Almeno potessi ritornare dai miei!"	Orvieto	50136211.ogg
Veneto	Perciò dopo un paio di mesi, sebbene la casa di suo padre fosse molto lontana, pensò di tornare indietro.	Albisano (di Torri del Benaco)	V1836411.ogg
Friuli Venezia-Giulia	Non trovo la chiave; dove l'hai messa?	Gorizia	F1834711.ogg
Basilicata	vuole essere sempre il primo	San Chirico Raparo	B0322211.ogg
Molise	il santo del paese si chiama…	Termoli	80123411.ogg
Friuli Venezia-Giulia	Tutti i giorni andrai nel mio campo e in quel prato a pascolare i miei porci e le mie pecore. Sei contento?	Claut	F1035911.ogg
Trentino-Alto Adige	Lui ha due case.	Kamaovrunt	62133511.ogg
Veneto	Non mangiate troppa frutta!	Venezia	V1534611.ogg
Piemonte	non sapevo che è morto	Torino	P1005911.ogg
Sardegna	Perciò dopo un paio di mesi, sebbene la casa di suo padre fosse molto lontana, pensò di tornare indietro.	Milis	20936411.ogg
Lombardia	Ho visto solo una donna, non due!	Bagnolo San Vito	L0627311.ogg
Sicilia	lui legge il giornale	Calascibetta	10615311.ogg
Molise	la falce serve a tagliare il fieno/il grano	Roccasicura	81010711.ogg
Trentino-Alto Adige	che bei cani!	Lusern	62202511.ogg
Puglia	l'uomo ha 32 denti	Ruvo di Puglia	70908111.ogg
Abruzzo	E piangi oggi, piangi domani, non poteva più: la fame e i dolori lo facevano dimagrire sempre più.	Ofena	A0736311.ogg
Veneto	non sapevo che è morto	Teolo	V2005911.ogg
Trentino-Alto Adige	Tosto che il babbo lo vide venire avanti, adagio adagio, rasente la siepe del cortile, con gli occhi bassi, gridò dalla gioia, gli corse incontro e lo baciò sulla fronte, sulle guance, sulla bocca.	Castelfondo	62436611.ogg
Sardegna	Non mangiate troppa frutta!	Bonarcado	20834611.ogg
Trentino-Alto Adige	lui legge il giornale	Sexten	61015311.ogg
Veneto	Quando sarò vecchio mi comprerò una casa sul mare.	Costalta	V0534011.ogg
Basilicata	Vuoi che io me ne vada?	Trecchina	B0534111.ogg
Molise	ho letto questo libro	Monteverde di Bojano	80815411.ogg
Trentino-Alto Adige	l'acqua è calda	Kasern	60700211.ogg
Piemonte	Ho visto solo una donna, non due!	Sauze di Cesana	P2427311.ogg
Trentino-Alto Adige	Lavoreremmo di più, se fossimo pagati meglio.	Sant'Antonio di Mavignola	63134311.ogg
Trentino-Alto Adige	quest'è il nostro cane	St. Gertraud	60318811.ogg
Toscana	No, babbo mio, non baciatemi! Sono stato troppo cattivo. I miei peccati son troppo grandi; non son più degno di essere vostro figlio: sarò uno dei vostri servi.	Radda in Chianti	90536711.ogg
Basilicata	Finalmente andò da un contadino e gli domandò: "Avete bisogno di un servo?"	Picerno	B0935611.ogg
Friuli Venezia-Giulia	Lui ha due case.	Tricesimo	F1933511.ogg
Calabria	adesso devi andare a destra	Guardia Piemontese	K0508311.ogg
Sardegna	le case sono belle	Alghero	20402711.ogg
Liguria	la vacca ha due …	Zoagli	30907111.ogg
Piemonte	che bei cani!	Ala di Stura	P1302511.ogg
Valle d'Aosta	i cani sono belli	St. Nicolas	40302411.ogg
